RA,Ano,Nome,Fase,Turma,Genero,Ano_ingresso,Instituicao,Idade,Pedra,INDE,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem,Mat,Por,Ing,Atingiu_PV,Indicado_bolsa,Fase_ideal,Tempo_PM,Em_defasagem
RA-1,2022,Aluno-1,7,A,Menina,2016,Escola Pública,19.0,Quartzo,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,-1,2.7,3.5,6.0,Não,Sim,Fase 8 (Universitários),6.0,1
RA-2,2022,Aluno-2,7,A,Menina,2017,Rede Decisão,17.0,Ametista,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,0,6.3,4.5,9.7,Não,Não,Fase 7 (3º EM),5.0,0
RA-3,2022,Aluno-3,7,A,Menina,2016,Rede Decisão,17.0,Ágata,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,0,5.8,4.0,6.9,Não,Não,Fase 7 (3º EM),6.0,0
RA-4,2022,Aluno-4,7,A,Menino,2017,Rede Decisão,17.0,Quartzo,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,0,2.8,3.5,8.7,Não,Não,Fase 7 (3º EM),5.0,0
RA-5,2022,Aluno-5,7,A,Menina,2016,Rede Decisão,17.0,Ametista,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,0,7.0,2.9,5.7,Não,Não,Fase 7 (3º EM),6.0,0
RA-6,2022,Aluno-6,7,A,Menina,2021,Escola Pública,18.0,Quartzo,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,-1,2.3,5.3,2.3,Não,Sim,Fase 8 (Universitários),1.0,1
RA-7,2022,Aluno-7,7,A,Menino,2017,Rede Decisão,18.0,Ágata,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,-1,8.2,5.7,9.0,Não,Não,Fase 8 (Universitários),5.0,1
RA-8,2022,Aluno-8,7,A,Menina,2018,Escola Pública,20.0,Quartzo,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,-1,1.2,0.7,2.9,Não,Não,Fase 8 (Universitários),4.0,1
RA-9,2022,Aluno-9,7,A,Menina,2019,Escola Pública,18.0,Topázio,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,-1,5.5,6.0,8.7,Sim,Sim,Fase 8 (Universitários),3.0,1
RA-10,2022,Aluno-10,7,A,Menina,2021,Escola Pública,18.0,Quartzo,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,-1,3.3,2.6,6.4,Não,Não,Fase 8 (Universitários),1.0,1
RA-11,2022,Aluno-11,7,A,Menina,2016,Escola Pública,18.0,Quartzo,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,-1,1.8,2.5,4.5,Não,Não,Fase 8 (Universitários),6.0,1
RA-12,2022,Aluno-12,7,A,Menina,2020,Escola Pública,17.0,Quartzo,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,0,2.7,1.1,0.7,Não,Sim,Fase 7 (3º EM),2.0,0
RA-13,2022,Aluno-13,7,A,Menino,2016,Escola Pública,18.0,Ágata,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,-1,3.5,5.5,5.2,Não,Sim,Fase 8 (Universitários),6.0,1
RA-14,2022,Aluno-14,7,D,Menino,2022,Escola Pública,21.0,Ágata,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,-1,8.0,0.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-15,2022,Aluno-15,7,D,Menino,2022,Escola Pública,18.0,Ametista,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,-1,8.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-16,2022,Aluno-16,7,D,Menino,2022,Escola Pública,19.0,Ágata,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,-1,7.0,0.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-17,2022,Aluno-17,7,D,Menino,2022,Escola Pública,20.0,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,-1,9.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-18,2022,Aluno-18,7,D,Menino,2022,Escola Pública,19.0,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,-1,9.0,9.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-19,2022,Aluno-19,7,D,Menina,2022,Escola Pública,19.0,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,-1,7.0,9.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-20,2022,Aluno-20,7,D,Menina,2022,Escola Pública,19.0,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,-1,9.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-21,2022,Aluno-21,7,D,Menino,2022,Escola Pública,18.0,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,-1,7.0,0.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-22,2022,Aluno-22,6,A,Menina,2019,Rede Decisão,17.0,Ametista,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,-1,9.0,3.1,7.8,Sim,Não,Fase 7 (3º EM),3.0,1
RA-23,2022,Aluno-23,6,A,Menino,2021,Escola Pública,17.0,Ametista,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,-1,7.2,4.7,8.2,Sim,Sim,Fase 7 (3º EM),1.0,1
RA-24,2022,Aluno-24,6,A,Menina,2021,Rede Decisão,17.0,Topázio,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,-1,10.0,6.3,9.7,Sim,Não,Fase 7 (3º EM),1.0,1
RA-25,2022,Aluno-25,6,A,Menina,2021,Escola Pública,17.0,Ametista,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,-1,9.2,3.8,7.7,Sim,Sim,Fase 7 (3º EM),1.0,1
RA-26,2022,Aluno-26,6,A,Menino,2022,Escola Pública,17.0,Topázio,8.677,9.6,8.8,10.0,,8.0,10.0,5.0,-1,9.5,4.4,10.0,Sim,Sim,Fase 7 (3º EM),0.0,1
RA-27,2022,Aluno-27,6,A,Menino,2016,Rede Decisão,17.0,Ametista,7.124,0.0,7.6,8.1,,8.0,9.111,5.0,-1,7.7,6.3,10.0,Sim,Não,Fase 7 (3º EM),6.0,1
RA-28,2022,Aluno-28,6,A,Menina,2019,Escola Pública,17.0,Ágata,6.242,7.9,6.1,7.5,,5.0,6.333,5.0,-1,8.2,1.5,5.3,Não,Não,Fase 7 (3º EM),3.0,1
RA-29,2022,Aluno-29,6,A,Menino,2022,Escola Pública,17.0,Quartzo,4.985,0.0,4.0,8.8,,3.7,7.611,5.0,-1,6.3,1.1,3.8,Não,Sim,Fase 7 (3º EM),0.0,1
RA-30,2022,Aluno-30,6,A,Menina,2021,Escola Pública,16.0,Ametista,7.605,8.8,6.4,7.5,,7.5,7.333,10.0,0,8.5,4.4,9.7,Não,Não,Fase 6 (2º EM),1.0,0
RA-31,2022,Aluno-31,6,A,Menina,2019,Rede Decisão,17.0,Topázio,8.843,10.0,9.5,9.4,,8.0,10.0,5.0,-1,9.0,5.7,9.3,Sim,Não,Fase 7 (3º EM),3.0,1
RA-32,2022,Aluno-32,6,A,Menina,2018,Rede Decisão,16.0,Ametista,7.37,8.8,5.2,8.8,,6.1,7.944,10.0,0,5.7,3.6,8.9,Não,Não,Fase 6 (2º EM),4.0,0
RA-33,2022,Aluno-33,6,A,Menina,2020,Escola Pública,17.0,Quartzo,4.952,0.0,4.6,7.5,,4.8,6.0,5.0,-1,9.0,1.6,3.7,Não,Não,Fase 7 (3º EM),2.0,1
RA-34,2022,Aluno-34,6,A,Menino,2016,Rede Decisão,17.0,Ágata,6.259,9.6,4.8,8.1,,3.8,7.278,5.0,-1,4.7,4.0,2.8,Não,Não,Fase 7 (3º EM),6.0,1
RA-35,2022,Aluno-35,6,A,Menina,2019,Rede Decisão,17.0,Topázio,8.965,10.0,9.6,9.4,,8.5,10.0,5.0,-1,9.0,7.1,9.3,Sim,Não,Fase 7 (3º EM),3.0,1
RA-36,2022,Aluno-36,6,A,Menina,2019,Rede Decisão,17.0,Ametista,7.876,9.2,9.0,6.9,,6.8,8.944,5.0,-1,8.5,4.3,7.8,Sim,Não,Fase 7 (3º EM),3.0,1
RA-37,2022,Aluno-37,6,A,Menina,2019,Rede Decisão,17.0,Quartzo,4.95,0.0,5.4,5.0,,5.9,5.222,5.0,-1,2.3,5.3,10.0,Não,Não,Fase 7 (3º EM),3.0,1
RA-38,2022,Aluno-38,6,A,Menina,2017,Rede Decisão,17.0,Topázio,8.523,9.2,8.9,7.5,,8.6,9.833,5.0,-1,9.0,7.0,9.7,Sim,Não,Fase 7 (3º EM),5.0,1
RA-39,2022,Aluno-39,6,A,Menina,2017,Rede Decisão,16.0,Ágata,6.033,0.0,4.8,6.9,,6.9,6.111,10.0,0,7.7,5.1,7.8,Não,Não,Fase 6 (2º EM),5.0,0
RA-40,2022,Aluno-40,5,A,Menina,2016,Rede Decisão,16.0,Ametista,7.203,7.9,7.8,7.5,,6.8,7.75,5.0,-1,4.7,7.3,8.4,Não,Não,Fase 6 (2º EM),6.0,1
RA-41,2022,Aluno-41,5,A,Menino,2018,Escola Pública,17.0,Quartzo,5.581,9.2,6.1,5.0,,5.6,4.375,5.0,-2,6.3,2.5,8.0,Não,Não,Fase 7 (3º EM),4.0,1
RA-42,2022,Aluno-42,5,A,Menino,2019,Rede Decisão,15.0,Ágata,6.72,8.3,7.9,5.6,,4.8,6.083,10.0,0,3.7,4.5,6.2,Não,Não,Fase 5 (1º EM),3.0,0
RA-43,2022,Aluno-43,5,A,Menina,2019,Escola Pública,16.0,Quartzo,5.486,6.3,6.5,5.6,,4.3,5.958,5.0,-1,4.0,5.8,3.2,Não,Não,Fase 6 (2º EM),3.0,1
RA-44,2022,Aluno-44,5,A,Menina,2021,Escola Pública,17.0,Quartzo,5.542,5.0,5.9,7.5,,3.0,7.292,5.0,-2,2.3,3.5,3.2,Não,Sim,Fase 7 (3º EM),1.0,1
RA-45,2022,Aluno-45,5,A,Menina,2019,Rede Decisão,15.0,Ametista,7.591,7.9,8.9,5.6,,6.8,7.417,10.0,0,6.3,5.2,8.8,Não,Não,Fase 5 (1º EM),3.0,0
RA-46,2022,Aluno-46,5,A,Menina,2022,Escola Pública,17.0,Ágata,6.048,8.8,8.4,6.3,,2.1,7.083,5.0,-2,2.8,2.8,0.7,Não,Não,Fase 7 (3º EM),0.0,1
RA-47,2022,Aluno-47,5,A,Menina,2022,Escola Pública,17.0,Quartzo,5.677,7.9,6.3,7.5,,2.1,7.042,5.0,-2,2.5,2.2,1.5,Não,Não,Fase 7 (3º EM),0.0,1
RA-48,2022,Aluno-48,5,A,Menina,2017,Rede Decisão,15.0,Ametista,8.006,6.7,8.4,7.5,,8.1,8.5,10.0,0,6.7,8.0,9.5,Sim,Não,Fase 5 (1º EM),5.0,0
RA-49,2022,Aluno-49,5,A,Menina,2022,Escola Pública,17.0,Ágata,6.304,7.5,7.4,7.5,,3.9,7.042,5.0,-2,1.5,4.2,6.2,Não,Não,Fase 7 (3º EM),0.0,1
RA-50,2022,Aluno-50,5,A,Menina,2022,Escola Pública,18.0,Ametista,7.138,7.5,8.4,7.5,,7.8,7.542,2.5,-3,6.5,7.3,9.7,Não,Não,Fase 8 (Universitários),0.0,1
RA-51,2022,Aluno-51,5,B,Menina,2022,Escola Pública,17.0,Ágata,6.488,8.8,7.6,7.5,,5.0,6.5,5.0,-2,4.5,4.5,6.0,Não,Não,Fase 7 (3º EM),0.0,1
RA-52,2022,Aluno-52,5,B,Menino,2018,Rede Decisão,13.0,Ametista,7.861,9.6,8.9,7.5,,6.2,7.5,10.0,2,3.3,6.3,8.8,Não,Não,Fase 3 (7º e 8º ano),4.0,0
RA-53,2022,Aluno-53,5,B,Menino,2022,Escola Pública,17.0,Ágata,6.725,9.2,7.0,7.5,,7.0,6.458,5.0,-2,6.0,8.0,,Não,Não,Fase 7 (3º EM),0.0,1
RA-54,2022,Aluno-54,5,B,Menina,2022,Escola Pública,16.0,Ágata,6.058,7.9,6.9,7.5,,4.8,6.125,5.0,-1,3.0,6.5,,Não,Não,Fase 6 (2º EM),0.0,1
RA-55,2022,Aluno-55,5,B,Menina,2017,Escola Pública,16.0,Ágata,6.576,7.1,7.6,5.6,,7.5,6.5,5.0,-1,6.7,7.8,7.9,Não,Não,Fase 6 (2º EM),5.0,1
RA-56,2022,Aluno-56,5,B,Menina,2019,Rede Decisão,15.0,Topázio,8.404,10.0,10.0,7.5,,7.0,8.25,10.0,0,4.5,6.5,10.0,Não,Não,Fase 5 (1º EM),3.0,0
RA-57,2022,Aluno-57,5,B,Menino,2017,Rede Decisão,16.0,Ametista,7.305,7.1,8.1,5.6,,8.4,7.875,5.0,-1,9.0,7.0,9.3,Não,Não,Fase 6 (2º EM),5.0,1
RA-58,2022,Aluno-58,5,B,Menino,2017,Rede Decisão,15.0,Topázio,8.136,9.6,9.2,6.3,,7.2,8.125,10.0,0,4.5,8.0,9.0,Não,Não,Fase 5 (1º EM),5.0,0
RA-59,2022,Aluno-59,5,B,Menino,2022,Escola Pública,17.0,Ametista,7.642,9.2,9.3,7.5,,7.2,7.917,5.0,-2,7.0,5.7,8.8,Não,Não,Fase 7 (3º EM),0.0,1
RA-60,2022,Aluno-60,5,B,Menina,2021,Escola Pública,18.0,Quartzo,5.537,6.7,6.0,7.5,,4.9,6.167,2.5,-3,5.0,6.2,3.5,Não,Não,Fase 8 (Universitários),1.0,1
RA-61,2022,Aluno-61,5,B,Menino,2021,Escola Pública,15.0,Ametista,7.533,9.2,7.4,7.5,,5.8,7.875,10.0,0,1.7,6.3,9.3,Não,Sim,Fase 5 (1º EM),1.0,0
RA-62,2022,Aluno-62,5,B,Menino,2022,Escola Pública,17.0,Ametista,7.891,8.8,9.4,7.5,,9.3,7.25,5.0,-2,8.5,10.0,,Não,Sim,Fase 7 (3º EM),0.0,1
RA-63,2022,Aluno-63,5,B,Menino,2018,Rede Decisão,16.0,Topázio,8.282,8.3,9.1,8.8,,8.7,9.417,5.0,-1,8.2,8.2,9.7,Sim,Não,Fase 6 (2º EM),4.0,1
RA-64,2022,Aluno-64,5,B,Menino,2019,Escola Pública,16.0,Ametista,7.368,7.1,8.1,8.1,,7.5,8.25,5.0,-1,4.8,8.2,9.4,Não,Sim,Fase 6 (2º EM),3.0,1
RA-65,2022,Aluno-65,5,B,Menina,2022,Escola Pública,17.0,Ametista,7.712,8.3,7.7,7.5,,9.3,7.875,5.0,-2,9.0,9.5,9.5,Não,Sim,Fase 7 (3º EM),0.0,1
RA-66,2022,Aluno-66,5,B,Menina,2022,Escola Pública,17.0,Quartzo,5.665,7.5,5.6,7.5,,4.5,5.917,5.0,-2,3.0,6.0,,Não,Não,Fase 7 (3º EM),0.0,1
RA-67,2022,Aluno-67,5,C,Menina,2019,Escola Pública,16.0,Quartzo,5.195,5.8,3.0,7.5,,3.6,6.889,5.0,-1,3.0,4.2,3.5,Não,Não,Fase 6 (2º EM),3.0,1
RA-68,2022,Aluno-68,5,C,Menino,2019,Escola Pública,16.0,Ágata,6.438,8.3,6.0,7.5,,4.0,7.944,5.0,-1,4.7,4.8,2.7,Não,Sim,Fase 6 (2º EM),3.0,1
RA-69,2022,Aluno-69,5,C,Menino,2018,Escola Pública,16.0,Quartzo,5.718,8.3,6.1,7.5,,2.5,6.167,5.0,-1,4.7,2.6,0.3,Não,Não,Fase 6 (2º EM),4.0,1
RA-70,2022,Aluno-70,5,C,Menina,2017,Escola Pública,16.0,Quartzo,5.712,8.8,6.6,5.0,,2.9,6.111,5.0,-1,5.7,2.9,0.2,Não,Não,Fase 6 (2º EM),5.0,1
RA-71,2022,Aluno-71,5,C,Menina,2019,Escola Pública,17.0,Quartzo,4.332,7.9,2.0,7.5,,1.2,5.833,5.0,-2,1.3,2.2,0.0,Não,Não,Fase 7 (3º EM),3.0,1
RA-72,2022,Aluno-72,5,C,Menina,2022,Escola Pública,17.0,Ametista,7.64,8.3,7.5,7.5,,7.8,8.667,5.0,-2,7.5,7.8,8.0,Sim,Sim,Fase 7 (3º EM),0.0,1
RA-73,2022,Aluno-73,5,C,Menina,2022,Escola Pública,17.0,Quartzo,5.271,7.1,3.0,7.5,,3.3,7.278,5.0,-2,4.5,3.0,2.3,Não,Sim,Fase 7 (3º EM),0.0,1
RA-74,2022,Aluno-74,5,C,Menino,2022,Escola Pública,16.0,Quartzo,4.989,9.6,3.3,7.5,,2.0,5.833,5.0,-1,6.0,0.0,0.0,Não,Não,Fase 6 (2º EM),0.0,1
RA-75,2022,Aluno-75,5,F,Menina,2022,Escola Pública,16.0,Quartzo,3.915,5.4,3.8,6.3,,0.0,4.625,5.0,-1,0.0,0.0,,Não,Não,Fase 6 (2º EM),0.0,1
RA-76,2022,Aluno-76,5,F,Menina,2017,Rede Decisão,15.0,Topázio,9.105,10.0,9.1,8.1,,8.7,9.292,10.0,0,9.3,8.3,8.4,Sim,Não,Fase 5 (1º EM),5.0,0
RA-77,2022,Aluno-77,5,F,Menino,2019,Escola Pública,16.0,Quartzo,3.846,7.1,2.7,5.0,,0.7,4.625,5.0,-1,0.3,1.8,0.0,Não,Não,Fase 6 (2º EM),3.0,1
RA-78,2022,Aluno-78,5,F,Menino,2018,Rede Decisão,17.0,Ametista,7.04,8.3,6.6,5.6,,7.2,8.0,5.0,-2,8.7,5.7,7.3,Não,Não,Fase 7 (3º EM),4.0,1
RA-79,2022,Aluno-79,5,F,Menina,2018,Rede Decisão,16.0,Ágata,6.847,5.4,6.3,5.6,,8.9,7.292,5.0,-1,9.5,7.7,9.5,Não,Não,Fase 6 (2º EM),4.0,1
RA-80,2022,Aluno-80,5,K,Menina,2017,Rede Decisão,16.0,Ametista,7.29,9.2,8.3,5.0,,7.1,7.625,5.0,-1,6.5,7.7,7.3,Não,Não,Fase 6 (2º EM),5.0,1
RA-81,2022,Aluno-81,5,K,Menina,2017,Rede Decisão,14.0,Ametista,7.675,9.2,9.2,5.0,,6.0,7.458,10.0,1,5.5,5.2,7.3,Não,Não,Fase 4 (9º ano),5.0,0
RA-82,2022,Aluno-82,5,K,Menina,2022,Escola Pública,17.0,Ágata,6.596,8.8,6.8,7.5,,5.5,6.417,5.0,-2,6.0,5.0,,Não,Sim,Fase 7 (3º EM),0.0,1
RA-83,2022,Aluno-83,5,K,Menina,2022,Escola Pública,17.0,Ágata,6.671,7.9,6.8,7.5,,6.8,5.958,5.0,-2,6.0,7.5,,Não,Sim,Fase 7 (3º EM),0.0,1
RA-84,2022,Aluno-84,5,K,Menina,2018,Rede Decisão,17.0,Ágata,6.682,7.1,8.8,5.0,,5.8,6.75,5.0,-2,5.7,6.5,5.2,Não,Não,Fase 7 (3º EM),4.0,1
RA-85,2022,Aluno-85,5,K,Menino,2022,Escola Pública,15.0,Ágata,6.243,6.7,7.3,5.0,,4.3,5.833,10.0,0,5.0,3.5,,Não,Não,Fase 5 (1º EM),0.0,0
RA-86,2022,Aluno-86,5,K,Menino,2016,Rede Decisão,16.0,Ametista,7.566,7.5,9.6,5.6,,6.7,8.458,5.0,-1,6.2,7.2,6.9,Sim,Não,Fase 6 (2º EM),6.0,1
RA-87,2022,Aluno-87,5,K,Menino,2021,Rede Decisão,15.0,Topázio,8.712,8.3,9.6,7.5,,8.8,8.5,10.0,0,8.3,8.0,10.0,Sim,Não,Fase 5 (1º EM),1.0,0
RA-88,2022,Aluno-88,5,K,Menino,2021,Escola Pública,17.0,Ametista,7.498,7.1,9.2,5.6,,6.5,9.208,5.0,-2,6.8,6.2,6.4,Sim,Sim,Fase 7 (3º EM),1.0,1
RA-89,2022,Aluno-89,5,K,Menino,2021,Escola Pública,16.0,Ametista,7.323,9.6,7.8,7.5,,5.9,8.0,5.0,-1,7.5,5.7,4.7,Não,Sim,Fase 6 (2º EM),1.0,1
RA-90,2022,Aluno-90,5,L,Menina,2019,Rede Decisão,13.0,Topázio,9.442,10.0,9.7,9.4,,8.5,9.75,10.0,2,7.7,8.0,9.8,Sim,Não,Fase 3 (7º e 8º ano),3.0,0
RA-91,2022,Aluno-91,5,L,Menina,2016,Rede Decisão,16.0,Ágata,6.645,9.2,5.7,5.6,,6.6,7.125,5.0,-1,5.5,5.7,8.5,Não,Não,Fase 6 (2º EM),6.0,1
RA-92,2022,Aluno-92,5,L,Menina,2016,Rede Decisão,16.0,Ágata,6.957,9.2,7.1,5.0,,7.4,6.667,5.0,-1,7.8,5.5,8.8,Não,Não,Fase 6 (2º EM),6.0,1
RA-93,2022,Aluno-93,5,L,Menina,2016,Rede Decisão,15.0,Topázio,8.941,8.3,9.7,8.1,,8.5,9.083,10.0,0,8.8,8.3,8.4,Sim,Não,Fase 5 (1º EM),6.0,0
RA-94,2022,Aluno-94,5,L,Menina,2018,Rede Decisão,15.0,Topázio,8.921,8.3,9.6,8.1,,7.7,9.583,10.0,0,7.0,6.7,9.5,Sim,Não,Fase 5 (1º EM),4.0,0
RA-95,2022,Aluno-95,5,L,Menina,2022,Escola Pública,17.0,Ágata,6.308,8.3,6.6,7.5,,4.8,6.292,5.0,-2,6.0,8.0,0.5,Não,Não,Fase 7 (3º EM),0.0,1
RA-96,2022,Aluno-96,5,L,Menino,2021,Escola Pública,16.0,Ametista,7.54,9.2,7.8,6.9,,6.7,8.5,5.0,-1,5.7,6.5,8.0,Sim,Sim,Fase 6 (2º EM),1.0,1
RA-97,2022,Aluno-97,5,L,Menina,2017,Rede Decisão,15.0,Ametista,7.468,7.5,8.8,5.0,,6.9,6.292,10.0,0,5.3,6.7,8.8,Não,Não,Fase 5 (1º EM),5.0,0
RA-98,2022,Aluno-98,5,L,Menina,2017,Rede Decisão,15.0,Topázio,9.354,8.8,10.0,9.4,,8.5,9.667,10.0,0,8.4,8.2,8.9,Sim,Não,Fase 5 (1º EM),5.0,0
RA-99,2022,Aluno-99,5,L,Menino,2019,Escola Pública,16.0,Ágata,6.158,8.8,6.3,7.5,,5.0,5.833,5.0,-1,5.7,3.4,5.8,Não,Não,Fase 6 (2º EM),3.0,1
RA-100,2022,Aluno-100,4,A,Menina,2019,Rede Decisão,13.0,Ametista,7.618,8.8,7.8,5.0,,7.6,7.25,10.0,1,7.0,7.8,8.1,Não,Não,Fase 3 (7º e 8º ano),3.0,0
RA-101,2022,Aluno-101,4,A,Menina,2021,Escola Pública,15.0,Ametista,7.305,7.9,8.3,7.5,,7.6,6.833,5.0,-1,7.2,6.5,9.2,Não,Sim,Fase 5 (1º EM),1.0,1
RA-102,2022,Aluno-102,4,A,Menino,2019,Escola Pública,14.0,Ágata,6.922,6.7,7.7,6.9,,5.7,6.0,10.0,0,4.7,6.8,5.5,Não,Não,Fase 4 (9º ano),3.0,0
RA-103,2022,Aluno-103,4,A,Menina,2020,Rede Decisão,13.0,Topázio,8.107,7.9,8.7,7.5,,7.3,7.708,10.0,1,7.3,7.3,7.3,Não,Não,Fase 3 (7º e 8º ano),2.0,0
RA-104,2022,Aluno-104,4,A,Menino,2022,Escola Pública,18.0,Ágata,6.315,7.9,8.7,7.5,,3.7,6.708,2.5,-4,4.8,5.8,0.3,Não,Não,Fase 8 (Universitários),0.0,1
RA-105,2022,Aluno-105,4,A,Menino,2016,Rede Decisão,17.0,Ágata,6.846,7.9,8.2,5.6,,6.7,7.417,2.5,-3,7.2,6.2,6.8,Não,Não,Fase 7 (3º EM),6.0,1
RA-106,2022,Aluno-106,4,A,Menina,2016,Rede Decisão,15.0,Ametista,7.973,9.2,8.0,9.4,,7.4,8.375,5.0,-1,7.8,7.2,7.2,Sim,Não,Fase 5 (1º EM),6.0,1
RA-107,2022,Aluno-107,4,A,Menina,2018,Escola Pública,15.0,Ágata,6.258,7.5,6.4,7.5,,4.6,6.5,5.0,-1,3.3,4.3,6.0,Não,Sim,Fase 5 (1º EM),4.0,1
RA-108,2022,Aluno-108,4,A,Menina,2019,Escola Pública,17.0,Quartzo,5.547,4.6,7.7,5.0,,5.0,6.125,2.5,-3,3.0,5.8,6.2,Não,Não,Fase 7 (3º EM),3.0,1
RA-109,2022,Aluno-109,4,A,Menino,2021,Rede Decisão,16.0,Topázio,8.512,8.8,10.0,8.8,,8.4,8.667,5.0,-2,7.8,7.5,9.9,Sim,Não,Fase 6 (2º EM),1.0,1
RA-110,2022,Aluno-110,4,A,Menino,2017,Rede Decisão,14.0,Topázio,8.15,9.2,9.7,5.6,,6.7,8.0,10.0,0,8.3,5.7,6.0,Não,Não,Fase 4 (9º ano),5.0,0
RA-111,2022,Aluno-111,4,A,Menina,2020,Rede Decisão,13.0,Topázio,8.646,7.5,9.4,8.1,,8.0,8.667,10.0,1,6.7,7.5,9.7,Sim,Não,Fase 3 (7º e 8º ano),2.0,0
RA-112,2022,Aluno-112,4,A,Menina,2016,Rede Decisão,15.0,Ametista,7.836,7.9,7.8,6.3,,8.5,8.833,5.0,-1,9.0,7.5,9.1,Sim,Não,Fase 5 (1º EM),6.0,1
RA-113,2022,Aluno-113,4,A,Menina,2017,Rede Decisão,15.0,Quartzo,3.032,0.0,0.0,5.0,,3.7,3.792,5.0,-1,3.3,5.5,2.3,Não,Não,Fase 5 (1º EM),5.0,1
RA-114,2022,Aluno-114,4,A,Menino,2022,Escola Pública,16.0,Quartzo,5.894,7.9,6.3,7.5,,5.3,5.0,5.0,-2,6.0,4.5,,Não,Não,Fase 6 (2º EM),0.0,1
RA-115,2022,Aluno-115,4,A,Menina,2019,Escola Pública,16.0,Quartzo,5.886,8.3,6.8,6.3,,3.8,5.583,5.0,-2,3.0,5.7,2.7,Não,Não,Fase 6 (2º EM),3.0,1
RA-116,2022,Aluno-116,4,B,Menina,2019,Escola Pública,16.0,Ágata,6.854,5.8,8.1,6.3,,5.9,7.792,5.0,-2,5.0,7.2,5.5,Não,Sim,Fase 6 (2º EM),3.0,1
RA-117,2022,Aluno-117,4,B,Menina,2022,Escola Pública,15.0,Ágata,6.685,7.9,6.3,6.9,,6.1,7.417,5.0,-1,4.7,6.7,7.0,Não,Não,Fase 5 (1º EM),0.0,1
RA-118,2022,Aluno-118,4,B,Menina,2021,Escola Pública,14.0,Quartzo,5.597,0.0,5.3,6.3,,3.9,6.958,10.0,0,3.7,4.7,3.5,Não,Não,Fase 4 (9º ano),1.0,0
RA-119,2022,Aluno-119,4,B,Menina,2016,Rede Decisão,14.0,Ametista,7.501,8.3,8.2,5.6,,5.4,7.875,10.0,0,5.7,7.0,3.4,Não,Não,Fase 4 (9º ano),6.0,0
RA-120,2022,Aluno-120,4,B,Menino,2019,Escola Pública,15.0,Ágata,6.825,8.3,5.9,7.5,,6.2,7.667,5.0,-1,3.7,5.2,9.7,Não,Sim,Fase 5 (1º EM),3.0,1
RA-121,2022,Aluno-121,4,B,Menina,2021,Escola Pública,16.0,Ametista,7.245,7.1,8.4,6.3,,7.2,7.625,5.0,-2,5.7,6.8,9.0,Não,Sim,Fase 6 (2º EM),1.0,1
RA-122,2022,Aluno-122,4,B,Menina,2019,Escola Pública,14.0,Quartzo,5.061,7.9,3.4,7.5,,1.8,4.958,10.0,0,1.7,3.7,0.0,Não,Não,Fase 4 (9º ano),3.0,0
RA-123,2022,Aluno-123,4,B,Menino,2017,Rede Decisão,16.0,Ametista,7.084,7.9,8.6,5.6,,6.5,7.292,5.0,-2,7.3,6.3,5.9,Não,Não,Fase 6 (2º EM),5.0,1
RA-124,2022,Aluno-124,4,B,Menino,2016,Rede Decisão,14.0,Ametista,7.388,7.9,7.8,5.0,,6.7,7.167,10.0,0,5.7,7.0,7.5,Não,Não,Fase 4 (9º ano),6.0,0
RA-125,2022,Aluno-125,4,B,Menina,2022,Escola Pública,15.0,Ametista,7.619,8.8,8.5,7.5,,7.1,7.75,5.0,-1,5.0,7.2,9.2,Não,Sim,Fase 5 (1º EM),0.0,1
